ScoutName,MatchNumber,TeamNumber,Mobility,AutonL1Attempted,AutonL1Scored,AutonL2Attempted,AutonL2Scored,AutonL3Attempted,AutonL3Scored,AutonL4Attempted,AutonL4Scored,AutonBargeAttempted,AutonBargeScored,AutonProcessorAttempted,AutonProcessorScored,AutonAlgaeRemoved,TeleopL1Attempted,TeleopL1Scored,TeleopL2Attempted,TeleopL2Scored,TeleopL3Attempted,TeleopL3Scored,TeleopL4Attempted,TeleopL4Scored,TeleopBargeAttempted,TeleopBargeScored,TeleopProcessorAttempted,TeleopProcessorScored,TeleopAlgaeRemoved,ClimbSuccessful,Climb,Breakdown,DefenseDescription,Notes
Jude,1,3668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,4,4,0,0,0,0,0,0,Deep,False,,
Jude,2,5460,1,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,2,2,0,0,6,6,5,4,0,0,4,0,None,False,,
Jude,3,1506,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,1,0,1,0,0,0,1,0,Park,False,,
Jude,4,3322,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,2,1,1,0,0,0,3,0,Deep,False,,
Jude,5,4779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,2,0,0,0,0,2,0,Park,False,,
Jude,6,7790,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,None,False,,
Jude,6,3668,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,6,6,0,0,0,0,0,0,0,0,Park,False,,
Jude,8,5527,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,1,Shallow,False,,
Jude,9,2832,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,3,2,2,3,3,0,0,4,1,Deep,False,,
Jude,10,7790,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,None,False,,
Jude,11,33,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,3,3,5,5,2,2,0,0,2,0,Shallow,False,,
Jude,12,5531,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,False,,
Jude,13,2832,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,4,2,2,2,2,0,0,3,0,Park,False,,
Jude,14,3539,1,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,3,2,3,3,0,0,2,2,0,0,2,0,Park,False,,
Jude,15,3656,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,1,5,4,1,1,0,0,1,1,2,0,Deep,False,,
